palette_size,presence_threshold,left_family_id,right_family_id,case_count,support,left_to_right_probability,right_to_left_probability,jaccard,lift,pmi
8,0.005,color_01,color_02,55,0.3374233128834356,0.8088235294117647,0.4230769230769231,0.38461538461538464,1.0141402714932128,0.020257213476943484
8,0.005,color_01,color_03,56,0.34355828220858897,0.8235294117647058,0.45528455284552843,0.4148148148148148,1.091343854615017,0.12610572969910264
8,0.005,color_01,color_04,32,0.19631901840490798,0.47058823529411764,0.2909090909090909,0.2191780821917808,0.6973262032085562,-0.5200944005439213
8,0.005,color_01,color_05,42,0.25766871165644173,0.6176470588235294,0.3925233644859813,0.3157894736842105,0.9409015942825729,-0.0878842506416484
8,0.005,color_01,color_06,34,0.2085889570552147,0.5,0.3541666666666667,0.26153846153846155,0.8489583333333333,-0.23623434649007877
8,0.005,color_01,color_07,37,0.22699386503067484,0.5441176470588235,0.5606060606060606,0.38144329896907214,1.3438057040998217,0.4263245592512344
8,0.005,color_01,color_08,15,0.09202453987730061,0.22058823529411764,0.3409090909090909,0.15463917525773196,0.8171791443850268,-0.2912757100480404
8,0.005,color_01,color_09,53,0.32515337423312884,0.7794117647058824,0.6022727272727273,0.5145631067961165,1.443683155080214,0.5297541489066402
8,0.005,color_01,color_10,32,0.19631901840490798,0.47058823529411764,0.3018867924528302,0.22535211267605634,0.7236403995560489,-0.46665514158246096
8,0.005,color_01,color_11,22,0.13496932515337423,0.3235294117647059,0.23404255319148937,0.15714285714285714,0.5610137672090113,-0.8338919200596019
8,0.005,color_01,color_12,46,0.2822085889570552,0.6764705882352942,0.35384615384615387,0.3026315789473684,0.8481900452488688,-0.2375405439907035
8,0.005,color_02,color_03,96,0.588957055214724,0.7384615384615385,0.7804878048780488,0.6114649681528662,0.978611632270169,-0.031191663415460424
8,0.005,color_02,color_04,84,0.5153374233128835,0.6461538461538462,0.7636363636363637,0.5384615384615384,0.9574825174825177,-0.062681949543276
8,0.005,color_02,color_05,84,0.5153374233128835,0.6461538461538462,0.7850467289719626,0.5490196078431373,0.9843278217109994,-0.022789222419763413
8,0.005,color_02,color_06,78,0.4785276073619632,0.6,0.8125,0.527027027027027,1.01875,0.02680005934371527
8,0.005,color_02,color_07,45,0.27607361963190186,0.34615384615384615,0.6818181818181818,0.2980132450331126,0.8548951048951049,-0.2261806818261557
8,0.005,color_02,color_08,37,0.22699386503067484,0.2846153846153846,0.8409090909090909,0.27007299270072993,1.0543706293706294,0.07638208819427564
8,0.005,color_02,color_09,74,0.4539877300613497,0.5692307692307692,0.8409090909090909,0.5138888888888888,1.0543706293706294,0.07638208819427564
8,0.005,color_02,color_10,77,0.4723926380368098,0.5923076923076923,0.7264150943396226,0.48427672955974843,0.9108127721335268,-0.13477357266567477
8,0.005,color_02,color_11,74,0.4539877300613497,0.5692307692307692,0.7872340425531915,0.49333333333333335,0.9870703764320785,-0.018775144846064618
8,0.005,color_02,color_12,102,0.6257668711656442,0.7846153846153846,0.7846153846153846,0.6455696202531646,0.9837869822485209,-0.023582129854335592
8,0.005,color_03,color_04,76,0.4662576687116564,0.6178861788617886,0.6909090909090909,0.4840764331210191,0.9155949741315594,-0.12721855118923653
8,0.005,color_03,color_05,85,0.5214723926380368,0.6910569105691057,0.794392523364486,0.5862068965517241,1.0527315553529366,0.07413759862839235
8,0.005,color_03,color_06,75,0.4601226993865031,0.6097560975609756,0.78125,0.5208333333333334,1.0353150406504066,0.050069838666562484
8,0.005,color_03,color_07,45,0.27607361963190186,0.36585365853658536,0.6818181818181818,0.3125,0.9035476718403548,-0.14632737413694102
8,0.005,color_03,color_08,37,0.22699386503067484,0.3008130081300813,0.8409090909090909,0.2846153846153846,1.1143754619364377,0.15623539588349036
8,0.005,color_03,color_09,77,0.4723926380368098,0.6260162601626016,0.875,0.5746268656716418,1.1595528455284554,0.21356857094944193
8,0.005,color_03,color_10,74,0.4539877300613497,0.6016260162601627,0.6981132075471698,0.4774193548387097,0.9251418929283632,-0.11225344004241172
8,0.005,color_03,color_11,59,0.3619631901840491,0.4796747967479675,0.6276595744680851,0.37341772151898733,0.8317765092544543,-0.2657321534239583
8,0.005,color_03,color_12,91,0.558282208588957,0.7398373983739838,0.7,0.5617283950617284,0.9276422764227643,-0.10835952393792044
8,0.005,color_04,color_05,67,0.4110429447852761,0.6090909090909091,0.6261682242990654,0.44666666666666666,0.9278674596431606,-0.10800935523695647
8,0.005,color_04,color_06,60,0.36809815950920244,0.5454545454545454,0.625,0.410958904109589,0.9261363636363636,-0.11070346440621968
8,0.005,color_04,color_07,43,0.26380368098159507,0.39090909090909093,0.6515151515151515,0.3233082706766917,0.965426997245179,-0.05076092394993765
8,0.005,color_04,color_08,26,0.15950920245398773,0.23636363636363636,0.5909090909090909,0.203125,0.8756198347107439,-0.19162345978978698
8,0.005,color_04,color_09,42,0.25766871165644173,0.38181818181818183,0.4772727272727273,0.2692307692307692,0.7072314049586778,-0.4997457551521189
8,0.005,color_04,color_10,83,0.50920245398773,0.7545454545454545,0.7830188679245284,0.6240601503759399,1.1602915951972554,0.21448741749014336
8,0.005,color_04,color_11,75,0.4601226993865031,0.6818181818181818,0.7978723404255319,0.5813953488372093,1.182301740812379,0.24159827952466137
8,0.005,color_04,color_12,89,0.5460122699386503,0.8090909090909091,0.6846153846153846,0.5894039735099338,1.0144755244755246,0.020734058644361345
8,0.005,color_05,color_06,60,0.36809815950920244,0.5607476635514018,0.625,0.4195804195804196,0.9521028037383177,-0.07081073728270716
8,0.005,color_05,color_07,40,0.24539877300613497,0.37383177570093457,0.6060606060606061,0.3007518796992481,0.9232512036250354,-0.11520485664116044
8,0.005,color_05,color_08,30,0.18404907975460122,0.2803738317757009,0.6818181818181818,0.24793388429752067,1.0386576040781648,0.054720144801151796
8,0.005,color_05,color_09,59,0.3619631901840491,0.5514018691588785,0.6704545454545454,0.4338235294117647,1.0213466440101955,0.030472598554474706
8,0.005,color_05,color_10,64,0.39263803680981596,0.5981308411214953,0.6037735849056604,0.42953020134228187,0.9197672368189032,-0.12065928673326863
8,0.005,color_05,color_11,59,0.3619631901840491,0.5514018691588785,0.6276595744680851,0.4154929577464789,0.9561543050308212,-0.06468463448586553
8,0.005,color_05,color_12,85,0.5214723926380368,0.794392523364486,0.6538461538461539,0.5592105263157895,0.9960460100647017,-0.005715709060822043
8,0.005,color_06,color_07,23,0.1411042944785276,0.23958333333333334,0.3484848484848485,0.16546762589928057,0.5916982323232323,-0.7570665097915193
8,0.005,color_06,color_08,30,0.18404907975460122,0.3125,0.6818181818181818,0.2727272727272727,1.1576704545454544,0.21122463048114243
8,0.005,color_06,color_09,55,0.3374233128834356,0.5729166666666666,0.625,0.4263565891472868,1.0611979166666665,0.08569374839728351
8,0.005,color_06,color_10,52,0.31901840490797545,0.5416666666666666,0.49056603773584906,0.3466666666666667,0.832940251572327,-0.26371508291218576
8,0.005,color_06,color_11,51,0.3128834355828221,0.53125,0.5425531914893617,0.3669064748201439,0.9212101063829787,-0.1183978561962204
8,0.005,color_06,color_12,80,0.49079754601226994,0.8333333333333334,0.6153846153846154,0.547945205479452,1.0448717948717947,0.063325935368829
8,0.005,color_07,color_08,15,0.09202453987730061,0.22727272727272727,0.3409090909090909,0.15789473684210525,0.8419421487603306,-0.2482069881561546
8,0.005,color_07,color_09,38,0.2331288343558282,0.5757575757575758,0.4318181818181818,0.3275862068965517,1.0664600550964187,0.09282992967891235
8,0.005,color_07,color_10,44,0.26993865030674846,0.6666666666666666,0.41509433962264153,0.34375,1.0251572327044025,0.03584519894672218
8,0.005,color_07,color_11,37,0.22699386503067484,0.5606060606060606,0.39361702127659576,0.3008130081300813,0.9721147646679561,-0.04080145117606356
8,0.005,color_07,color_12,46,0.2822085889570552,0.696969696969697,0.35384615384615387,0.30666666666666664,0.8738927738927739,-0.19447182209881755
8,0.005,color_08,color_09,21,0.12883435582822086,0.4772727272727273,0.23863636363636365,0.1891891891891892,0.8840392561983472,-0.17781766026475648
8,0.005,color_08,color_10,22,0.13496932515337423,0.5,0.20754716981132076,0.171875,0.7688679245283019,-0.37919230033212165
8,0.005,color_08,color_11,21,0.12883435582822086,0.4772727272727273,0.22340425531914893,0.1794871794871795,0.8276112185686654,-0.2729748933050968
8,0.005,color_08,color_12,26,0.15950920245398773,0.5909090909090909,0.2,0.17567567567567569,0.740909090909091,-0.43263155929358194
8,0.005,color_09,color_10,48,0.294478527607362,0.5454545454545454,0.4528301886792453,0.3287671232876712,0.8387650085763294,-0.25366141824826255
8,0.005,color_09,color_11,25,0.15337423312883436,0.2840909090909091,0.26595744680851063,0.1592356687898089,0.4926257253384913,-1.0214361263091323
8,0.005,color_09,color_12,63,0.38650306748466257,0.7159090909090909,0.4846153846153846,0.4064516129032258,0.8976398601398602,-0.15579135393475765
8,0.005,color_10,color_11,72,0.44171779141104295,0.6792452830188679,0.7659574468085106,0.5625,1.1778402248093134,0.23614384943255318
8,0.005,color_10,color_12,88,0.5398773006134969,0.8301886792452831,0.676923076923077,0.5945945945945946,1.0409288824383165,0.057871505276721254
8,0.005,color_11,color_12,82,0.5030674846625767,0.8723404255319149,0.6307692307692307,0.5774647887323944,1.0937806873977087,0.12932349414306943
8,0.01,color_01,color_02,55,0.3374233128834356,0.8088235294117647,0.4230769230769231,0.38461538461538464,1.0141402714932128,0.020257213476943484
8,0.01,color_01,color_03,56,0.34355828220858897,0.8235294117647058,0.45528455284552843,0.4148148148148148,1.091343854615017,0.12610572969910264
8,0.01,color_01,color_04,32,0.19631901840490798,0.47058823529411764,0.2909090909090909,0.2191780821917808,0.6973262032085562,-0.5200944005439213
